year,month,full_name,first_name,last_name,gender,birth_date,age,country_citizenship,country_citizenship_iso3,country_residence,country_residence_iso3,city_of_residence,net_worth_usd,wealth_status,self_made,business_category,business_industries,organization_name,position_in_organization,rank
2024,4,Keiko Erikawa,Keiko,Erikawa,female,1949-01-03,75,Japan,JPN,Japan,JPN,Yokohama City,1100000000,Decreased,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,2545
2024,4,Keith Dunleavy & family,Keith,Dunleavy,male,1969-06-25,54,United States,USA,United States,USA,Annapolis,1900000000,Increased,TRUE,Healthcare,['Healthcare'],NA,NA,1694
2021,4,Kejian Cao,Kejian,Cao,male,1962-04-10,58,China,CHN,China,CHN,Quzhou,1200000000,Returned to List,TRUE,Manufacturing,['Manufacturing'],NA,NA,2378
2024,4,Kelcy Warren,Kelcy,Warren,male,1955-11-09,68,United States,USA,United States,USA,Dallas,6000000000,Increased,TRUE,Energy,['Energy'],NA,NA,486
2024,4,Ken Fisher,Ken,Fisher,male,1950-11-29,73,United States,USA,United States,USA,Dallas,8700000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,292
2024,4,Ken Griffin,Ken,Griffin,male,1968-10-15,55,United States,USA,United States,USA,Miami,36400000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],Citadel LLC,Founder & CEO,42
2017,3,Ken Grossman,Ken,Grossman,male,1954-11-11,62,United States,USA,United States,USA,Chico,1000000000,Remained Even,TRUE,Food and Beverage,['Food and Beverage'],NA,NA,1940
2024,4,Ken Kendrick,Ken,Kendrick,male,1943-09-02,80,United States,USA,United States,USA,Paradise Valley,1100000000,Increased,TRUE,Sports,['Sports'],NA,NA,2545
2024,4,Ken Langone,Ken,Langone,male,1935-09-16,88,United States,USA,United States,USA,Sands Point,8700000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,292
2024,4,Ken Xie,Ken,Xie,male,1963-01-26,61,United States,USA,United States,USA,Los Altos Hills,5000000000,Increased,TRUE,Technology,['Technology'],NA,NA,612
2021,4,Kenji Kasahara,Kenji,Kasahara,male,1975-12-06,45,Japan,JPN,Japan,JPN,Tokyo,1100000000,Returned to List,TRUE,Technology,['Technology'],NA,NA,2524
2013,3,"Kenneth Adams, Jr.",Kenneth,Adams,male,1923-01-01,90,United States,USA,United States,USA,Houston,1200000000,Increased,TRUE,Sports,['Sports'],NA,NA,1175
2024,4,Kenneth Dart,Kenneth,Dart,male,1955-04-21,68,Belize,BLZ,Cayman Islands,CYM,George Town,4700000000,Increased,FALSE,Finance & Investments,['Finance & Investments'],NA,NA,661
2024,4,Kenneth Feld & family,Kenneth,Feld,male,1948-10-31,75,United States,USA,United States,USA,Sarasota,2700000000,Decreased,FALSE,Media & Entertainment,['Media & Entertainment'],Feld Entertainment,Chairman,1238
2007,3,Kenneth Fisher,NA,NA,NA,NA,56,United States,USA,United States,USA,Woodside,1300000000,NA,NA,NA,['Finance'],NA,NA,754
2007,3,Kenneth Griffin,NA,NA,NA,NA,38,United States,USA,United States,USA,Chicago,1700000000,NA,NA,NA,['Investments'],NA,NA,583
2024,4,Kenneth Hao,Kenneth,Hao,male,1968-09-11,55,United States,USA,United States,USA,Hillsborough,2300000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,1438
2017,3,Kenneth Langone,Kenneth,Langone,male,1935-09-16,81,United States,USA,United States,USA,Sands Point,3000000000,Increased,TRUE,Finance and Investments,['Finance and Investments'],NA,NA,660
2024,4,Kenneth Lo,Kenneth,Lo,male,1938-10-09,85,United Kingdom,GBR,Hong Kong,HKG,Hong Kong,1100000000,Returned to List,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,2545
2011,3,Kenneth Morrison,Kenneth,Morrison,male,1931-10-20,79,United Kingdom,GBR,United Kingdom,GBR,Bradford,1200000000,Decreased,FALSE,NA,['Fashion and Retail'],NA,NA,993
2024,4,Kenneth Tuchman,Kenneth,Tuchman,male,1959-10-23,64,United States,USA,United States,USA,Denver,1100000000,Decreased,TRUE,Service,['Service'],NA,NA,2545
2019,3,Kenny Park,Kenny,Park,male,1955-03-21,63,South Korea,KOR,South Korea,KOR,Seoul,1000000000,NA,TRUE,Manufacturing,['Manufacturing'],NA,NA,2057
2024,4,Kenny Troutt,Kenny,Troutt,male,1948-01-08,76,United States,USA,United States,USA,Dallas,1700000000,Increased,TRUE,Telecom,['Telecom'],NA,NA,1851
2024,4,Kentaro Ogawa,Kentaro,Ogawa,male,1948-07-01,75,Japan,JPN,Japan,JPN,Tokyo,2700000000,Increased,TRUE,Food & Beverage,['Food & Beverage'],NA,NA,1238
2020,4,Kentaro Ogawa & family,Kentaro,Ogawa,male,1948-07-01,71,Japan,JPN,Japan,JPN,Tokyo,1200000000,Decreased,TRUE,Food & Beverage,['Food & Beverage'],NA,NA,1730
2024,4,Kenzo Tsujimoto,Kenzo,Tsujimoto,male,1940-12-15,83,Japan,JPN,Japan,JPN,Osaka,1200000000,Increased,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,2410
2021,4,Keqiang Zhang,Keqiang,Zhang,male,1960-04-29,60,China,CHN,China,CHN,Guangzhou,1600000000,Increased,TRUE,Real Estate,['Real Estate'],NA,NA,1931
2022,4,Kerr Neilson,Kerr,Neilson,male,1949-10-17,72,Australia,AUS,Australia,AUS,Sydney,1100000000,Decreased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,2448
2024,4,Kerry Stokes,Kerry,Stokes,male,1940-09-13,83,Australia,AUS,Australia,AUS,Perth,6600000000,Increased,TRUE,Diversified,['Diversified'],NA,NA,417
2023,4,Keshub Mahindra,Keshub,Mahindra,male,1923-10-09,99,India,IND,India,IND,Mumbai,1200000000,Returned to List,FALSE,Diversified,['Diversified'],NA,NA,2259
2024,4,Kevin David Lehmann,Kevin David,Lehmann,male,2002-09-01,21,Germany,DEU,NA,NA,NA,3300000000,Increased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,991
2024,4,Kevin Glazer,Kevin,Glazer,male,1962-02-15,62,United States,USA,United States,USA,Rochester,1700000000,NA,FALSE,Sports,['Sports'],NA,NA,1851
2024,4,Kevin Plank,Kevin,Plank,male,1972-08-13,51,United States,USA,United States,USA,Lutherville-Timonium,1100000000,Remained Even,TRUE,Fashion & Retail,['Fashion & Retail'],Under Armour,Chairman and CEO,2545
2024,4,Kevin Systrom,Kevin,Systrom,male,1983-12-30,40,United States,USA,United States,USA,San Francisco,2800000000,Increased,TRUE,Technology,['Technology'],Instagram,Cofounder,1187
2019,3,Khalifa Bin Butti Al Muhairi,Khalifa Bin Butti,Al Muhairi,male,1979-01-01,40,United Arab Emirates,ARE,United Arab Emirates,ARE,Abu Dhabi,1200000000,Decreased,TRUE,Diversified,['Diversified'],NA,NA,1818
2021,4,Kiat Chiaravanont,Kiat,Chiaravanont,male,NA,NA,Thailand,THA,Hong Kong,HKG,Hong Kong,2400000000,Increased,FALSE,Diversified,['Diversified'],NA,NA,1299
2024,4,Kie Chie Wong,Kie Chie,Wong,male,1948-04-04,75,Malaysia,MYS,Australia,AUS,Sydney,2200000000,Increased,FALSE,Metals & Mining,['Metals & Mining'],NA,NA,1496
2018,3,Kieu Hoang,Kieu,Hoang,male,1944-07-03,73,United States,USA,United States,USA,Westlake Village,2800000000,Decreased,TRUE,Healthcare,['Healthcare'],NA,NA,859
2024,4,Kiki Barki,Kiki,Barki,male,1939-11-25,84,Indonesia,IDN,Indonesia,IDN,Jakarta,1400000000,Increased,TRUE,Energy,['Energy'],NA,NA,2152
2017,3,Kim Beom-Su,Beom-Su,Kim,male,1966-03-27,50,South Korea,KOR,South Korea,KOR,Seoul,1700000000,Remained Even,TRUE,Technology,['Technology'],Kakao,Entrepreneur,1234
2024,4,Kim Beom-su,Beom-su,Kim,male,1966-03-27,58,South Korea,KOR,South Korea,KOR,Seoul,4600000000,Decreased,TRUE,Technology,['Technology'],NA,NA,686
2023,4,Kim Chang-soo,Chang-soo,Kim,male,1961-04-01,62,South Korea,KOR,South Korea,KOR,Seoul,1700000000,Decreased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,1725
2022,4,Kim Dae-il,Dae-il,Kim,male,1980-01-26,42,South Korea,KOR,South Korea,KOR,Anyang,1900000000,Increased,TRUE,Technology,['Technology'],NA,NA,1579
2022,4,Kim Hyoung-nyon,Hyoung-nyon,Kim,male,1976-01-01,46,South Korea,KOR,South Korea,KOR,NA,1900000000,NA,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,1579
2024,4,Kim Jae-young,Jae-young,Kim,male,1973-11-01,50,South Korea,KOR,South Korea,KOR,Seongnam,1100000000,Decreased,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,2545
2017,3,Kim Jun-Ki,Jun-Ki,Kim,male,1944-12-04,72,South Korea,KOR,South Korea,KOR,Seoul,1200000000,Returned to List,TRUE,Diversified,['Diversified'],Dongbu Insurance,NA,1678
2024,4,Kim Jun-ki,Jun-ki,Kim,male,1944-12-04,79,South Korea,KOR,South Korea,KOR,Seoul,2000000000,Increased,TRUE,Diversified,['Diversified'],NA,NA,1623
2017,3,Kim Jung-Ju,Jung-Ju,Kim,male,1968-02-22,49,South Korea,KOR,South Korea,KOR,Seoul,4300000000,Increased,TRUE,Technology,['Technology'],Nexon,NA,402
2012,3,Kim Jung-Ju & family,Jung-Ju,Kim,male,1968-02-22,44,South Korea,KOR,South Korea,KOR,Seoul,3300000000,Increased,TRUE,NA,['Gaming'],NA,NA,344
2021,4,Kim Jung-ju,Jung-ju,Kim,male,1968-02-22,53,South Korea,KOR,South Korea,KOR,Seoul,13300000000,Increased,TRUE,Technology,['Technology'],Nexon,NA,158
2024,4,Kim Jung-min,Jung-min,Kim,female,2002-01-01,22,South Korea,KOR,South Korea,KOR,Jeju,1400000000,Decreased,FALSE,Media & Entertainment,['Media & Entertainment'],NA,NA,2152
2024,4,Kim Jung-woong,Jung-woong,Kim,male,1975-01-01,49,South Korea,KOR,South Korea,KOR,Seoul,1100000000,Increased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,2545
2024,4,Kim Jung-youn,Jung-youn,Kim,female,2004-01-01,20,South Korea,KOR,South Korea,KOR,Jeju,1400000000,Decreased,FALSE,Media & Entertainment,['Media & Entertainment'],NA,NA,2152
2024,4,Kim Kardashian,Kim,Kardashian,female,1980-10-21,43,United States,USA,United States,USA,Hidden Hills,1700000000,Increased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,Personality,1851
2017,3,Kim Nam-Jung,Nam-Jung,Kim,male,1973-01-01,44,South Korea,KOR,South Korea,KOR,Seoul,1600000000,Increased,FALSE,Food and Beverage,['Food and Beverage'],NA,NA,1290
2022,4,Kim Nam-jung,Nam-jung,Kim,male,1973-01-01,49,South Korea,KOR,South Korea,KOR,Seoul,1300000000,Remained Even,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,2190
2022,4,Kim Sang-yeol,Sang-yeol,Kim,male,1961-01-03,61,South Korea,KOR,South Korea,KOR,Seoul,1400000000,Decreased,TRUE,Construction & Engineering,['Construction & Engineering'],NA,NA,2076
2011,3,Kim Tack-Jin,Tack-Jin,Kim,male,1967-03-14,44,South Korea,KOR,NA,NA,NA,1000000000,NA,TRUE,Gaming,['Gaming'],NA,NA,1140
2017,3,Kim Taek-Jin,Taek-Jin,Kim,male,1967-03-14,49,South Korea,KOR,South Korea,KOR,Seoul,1200000000,Increased,TRUE,Gambling & Casinos,['Gambling & Casinos'],NCSOFT Corporation,NA,1678
2024,4,Kim Taek-jin,Taek-jin,Kim,male,1967-03-14,57,South Korea,KOR,South Korea,KOR,Seoul,1100000000,Decreased,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,2545
1997,7,King Bhumibol Adulyadej,King Bhumibol,Adulyadej,male,1927-12-05,69,Thailand,THA,NA,NA,NA,1800000000,NA,FALSE,NA,NA,NA,NA,NA
2018,3,King Pak Fu,Pak Fu,King,male,1970-01-01,48,Hong Kong,HKG,China,CHN,Beijing,1200000000,Decreased,TRUE,Real Estate,['Real Estate'],NA,NA,1867
2024,4,Kiran Mazumdar-Shaw,Kiran,Mazumdar-Shaw,female,1953-03-23,71,India,IND,India,IND,Bangalore,2700000000,Increased,TRUE,Healthcare,['Healthcare'],Biocon,"Founder, Chair And Managing Director,",1238
2024,4,Kiril Domuschiev,Kiril,Domuschiev,male,1969-04-18,54,Bulgaria,BGR,United Kingdom,GBR,London,2100000000,Remained Even,TRUE,Diversified,['Diversified'],NA,NA,1545
2024,4,Kirill Minovalov,Kirill,Minovalov,male,1971-04-22,52,Russia,RUS,Russia,RUS,Moscow,1200000000,NA,TRUE,Diversified,['Diversified'],NA,NA,2410
2018,3,Kirill Shamalov,Kirill,Shamalov,male,1982-03-22,35,Russia,RUS,Russia,RUS,Moscow,1400000000,Increased,TRUE,Energy,['Energy'],NA,NA,1650
2015,3,Kirk Kerkorian,Kirk,Kerkorian,male,1917-06-06,97,United States,USA,NA,NA,NA,4200000000,Decreased,TRUE,Gaming,['Gaming'],NA,NA,393
2024,4,Kirsten Rausing,Kirsten,Rausing,female,1952-06-06,71,Sweden,SWE,United Kingdom,GBR,Newmarket,7200000000,Decreased,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,373
2024,4,Kishin RK,Kishin,RK,male,1983-05-05,40,Singapore,SGP,Singapore,SGP,Singapore,1600000000,Increased,FALSE,Real Estate,['Real Estate'],NA,NA,1945
2024,4,Kishore Mariwala,Kishore,Mariwala,male,1935-02-14,89,India,IND,India,IND,Mumbai,2400000000,Increased,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,1380
2024,4,Kjeld Kirk Kristiansen,Kjeld Kirk,Kristiansen,male,1947-12-27,76,Denmark,DNK,Denmark,DNK,Billund,6000000000,Decreased,FALSE,Manufacturing,['Manufacturing'],NA,NA,486
2016,3,Kjeld Kirk Kristiansen & family,Kjeld Kirk,Kristiansen,male,1947-12-27,68,Denmark,DNK,Denmark,DNK,Billund,13100000000,Increased,FALSE,Manufacturing,['Manufacturing'],NA,NA,65
2024,4,Kjell Inge Rokke,Kjell Inge,Rokke,male,1958-10-25,65,Norway,NOR,Norway,NOR,Vettre,4600000000,Decreased,TRUE,Logistics,['Logistics'],NA,NA,686
2017,3,Klaus Hellmann,Klaus,Hellmann,male,1949-01-03,68,Germany,DEU,Germany,DEU,Osnabruck,1300000000,Remained Even,FALSE,Logistics,['Logistics'],NA,NA,1567
2013,3,Klaus Tschira,Klaus,Tschira,male,1940-12-07,72,Germany,DEU,Germany,DEU,Heidelberg,7500000000,Increased,TRUE,Technology,['Technology'],NA,NA,156
2015,3,Klaus Tschira & family,Klaus,Tschira,male,1940-12-07,74,Germany,DEU,NA,NA,NA,8600000000,Increased,TRUE,Technology,['Technology'],NA,NA,153
2024,4,Klaus-Michael Kuehne,Klaus-Michael,Kuehne,male,1937-06-02,86,Germany,DEU,Switzerland,CHE,Schindellegi,39200000000,Increased,FALSE,Logistics,['Logistics'],NA,NA,32
2011,3,Klaus-Michael Kuhne,Klaus-Michael,Kuhne,male,1937-06-02,73,Germany,DEU,Switzerland,CHE,Schindellegi,10000000000,Increased,FALSE,NA,['Logistics'],NA,NA,81
2024,4,Klaus-Peter Schulenberg,Klaus-Peter,Schulenberg,male,1951-07-01,72,Germany,DEU,Germany,DEU,Bremen,4000000000,Increased,TRUE,Service,['Service'],NA,NA,785
2024,4,Kochouseph Chittilappilly,Kochouseph,Chittilappilly,male,1950-12-27,73,India,IND,India,IND,Kochi,1600000000,Increased,TRUE,Manufacturing,['Manufacturing'],NA,NA,1945
2024,4,Koh Wee Meng,Wee Meng,Koh,male,1963-07-01,60,Singapore,SGP,Singapore,SGP,Singapore,1500000000,Increased,TRUE,Real Estate,['Real Estate'],NA,NA,2046
2024,4,Kommer Damen,Kommer,Damen,male,1944-03-30,80,Netherlands,NLD,Netherlands,NLD,Gorinchem,2100000000,Increased,FALSE,Manufacturing,['Manufacturing'],NA,NA,1545
2023,4,Kong Jian Min,Jian Min,Kong,male,1968-01-01,55,China,CHN,China,CHN,Guangzhou,1000000000,Decreased,TRUE,Real Estate,['Real Estate'],NA,NA,2540
2015,3,Konstantin Grigorishin,Konstantin,Grigorishin,male,1965-11-16,49,Russia,RUS,Russia,RUS,Moscow,1100000000,Decreased,TRUE,Energy,['Energy'],NA,NA,1638
2019,3,Konstantin Nikolaev,Konstantin,Nikolaev,male,1971-03-05,48,Russia,RUS,Russia,RUS,Moscow,1200000000,Increased,TRUE,Logistics,['Logistics'],NA,NA,1818
2024,4,Konstantin Sixt,Konstantin,Sixt,male,1982-12-02,41,Germany,DEU,Germany,DEU,Munich,1700000000,Increased,FALSE,Automotive,['Automotive'],NA,NA,1851
2021,4,Konstantin Strukov,Konstantin,Strukov,male,1958-09-10,62,Russia,RUS,Russia,RUS,Chelyabinsk,2800000000,Increased,TRUE,Metals & Mining,['Metals & Mining'],NA,NA,1111
2024,4,Konstantin Strukov & family,Konstantin,Strukov,male,1958-09-10,65,Russia,RUS,Russia,RUS,Chelyabinsk,1600000000,Increased,TRUE,Metals & Mining,['Metals & Mining'],NA,NA,1945
2011,3,Koo Bon-Joon,Bon-Joon,Koo,male,1951-12-24,59,South Korea,KOR,South Korea,KOR,Seoul,1000000000,NA,FALSE,Technology,['Technology'],LG Electronics,NA,1140
2018,3,Koo Bon-Moo,Bon-Moo,Koo,male,1945-02-10,73,South Korea,KOR,South Korea,KOR,Seoul,2200000000,Increased,FALSE,Diversified,['Diversified'],LG Corp,NA,1103
2015,3,Koo Bon-Neung,Bon-Neung,Koo,male,1949-03-26,65,South Korea,KOR,South Korea,KOR,Seoul,1300000000,Increased,FALSE,Manufacturing,['Manufacturing'],Heesung Electronics,NA,1415
2013,3,Koo Bon-Sik,Bon-Sik,Koo,male,1958-06-28,54,South Korea,KOR,South Korea,KOR,Seoul,1000000000,NA,FALSE,Technology,['Technology'],Heesung,NA,1342
2021,4,Koo Bon-joon,Bon-joon,Koo,male,1951-12-24,69,South Korea,KOR,South Korea,KOR,Seoul,1200000000,Returned to List,FALSE,Technology,['Technology'],LG Electronics,NA,2378
2024,4,Koo Bon-neung,Bon-neung,Koo,male,1949-03-26,75,South Korea,KOR,South Korea,KOR,Seoul,1200000000,Increased,FALSE,Manufacturing,['Manufacturing'],Heesung Electronics,NA,2410
2024,4,Koo Bon-sik,Bon-sik,Koo,male,1958-06-28,65,South Korea,KOR,South Korea,KOR,Seoul,1100000000,Remained Even,FALSE,Technology,['Technology'],Heesung,NA,2545
2024,4,Koo Kwang-mo,Kwang-mo,Koo,male,1978-01-23,46,South Korea,KOR,South Korea,KOR,Seoul,2000000000,Increased,FALSE,Diversified,['Diversified'],NA,NA,1623
2024,4,Koon Poh Keong,Poh Keong,Koon,male,1961-04-25,62,Malaysia,MYS,Malaysia,MYS,Petaling Jaya,3700000000,Decreased,TRUE,Manufacturing,['Manufacturing'],NA,NA,871
2022,4,Koon Poh Ming,Poh Ming,Koon,male,1956-11-17,65,Malaysia,MYS,Malaysia,MYS,Bintulu,1300000000,NA,TRUE,Metals & Mining,['Metals & Mining'],NA,NA,2190
2024,4,Koos Bekker,Koos,Bekker,male,1952-12-14,71,South Africa,ZAF,South Africa,ZAF,Cape Town,2600000000,Increased,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,1286
2024,4,Kostyantin Zhevago,Kostyantin,Zhevago,male,1974-01-07,50,Ukraine,UKR,Ukraine,UKR,Kiev,1200000000,Decreased,TRUE,Metals & Mining,['Metals & Mining'],NA,NA,2410
2024,4,Krishna Kumar Bangur,Krishna Kumar,Bangur,male,1960-07-02,63,India,IND,India,IND,Kolkata,1200000000,Returned to List,FALSE,Manufacturing,['Manufacturing'],NA,NA,2410
2024,4,Kristo Käärmann,Kristo,Käärmann,male,1980-09-01,43,Estonia,EST,United Kingdom,GBR,London,2200000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],Wise,Cofounder,1496
2024,4,Krit Ratanarak,Krit,Ratanarak,male,1946-04-19,77,Thailand,THA,Thailand,THA,Bangkok,1500000000,Decreased,FALSE,Media & Entertainment,['Media & Entertainment'],NA,NA,2046
2019,3,Kuan Kam Hon,Kam Hon,Kuan,male,1947-09-04,71,Malaysia,MYS,Malaysia,MYS,Kuala Lumpur,2400000000,Decreased,TRUE,Manufacturing,['Manufacturing'],NA,NA,962
2022,4,Kuan Kam Hon & family,Kam Hon,Kuan,male,1947-09-04,74,Malaysia,MYS,Malaysia,MYS,Kuala Lumpur,2000000000,Decreased,TRUE,Manufacturing,['Manufacturing'],NA,NA,1513
2021,4,Kuldip Singh & Gurbachan Singh Dhingra,Kuldip Singh & Gurbachan Singh,Dhingra,male,NA,NA,India,IND,India,IND,Delhi,8400000000,Increased,TRUE,Manufacturing,['Manufacturing'],NA,NA,294
2024,4,Kuldip Singh Dhingra,Kuldip Singh,Dhingra,male,1947-09-02,76,India,IND,India,IND,Delhi,3500000000,Increased,TRUE,Manufacturing,['Manufacturing'],NA,NA,920
2024,4,Kumar Birla,Kumar,Birla,male,1967-06-14,56,India,IND,India,IND,Mumbai,19700000000,Increased,FALSE,Diversified,['Diversified'],NA,NA,98
2009,3,Kun-Hee Lee,NA,NA,NA,NA,67,South Korea,KOR,South Korea,KOR,Seoul,3000000000,NA,NA,NA,['Diversified'],NA,NA,205
2016,3,Kunio Busujima & family,Kunio,Busujima,male,1925-04-01,90,Japan,JPN,NA,NA,NA,2900000000,NA,TRUE,Gambling & Casinos,['Gambling & Casinos'],NA,NA,595
2024,4,Kuok Khoon Hong,Khoon Hong,Kuok,male,1950-01-01,74,Singapore,SGP,Singapore,SGP,Singapore,2900000000,Decreased,FALSE,Manufacturing,['Manufacturing'],NA,NA,1143
2022,4,Kurt Krieger,Kurt,Krieger,male,1948-04-02,74,Germany,DEU,Germany,DEU,Berlin,1400000000,Decreased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,Entrepreneur,2076
2024,4,Kushal Pal Singh,Kushal Pal,Singh,male,1931-08-15,92,India,IND,United Kingdom,GBR,London,20900000000,Increased,FALSE,Real Estate,['Real Estate'],NA,NA,92
2020,4,Kutayba Alghanim,Kutayba,Alghanim,male,1945-10-12,74,Kuwait,KWT,Kuwait,KWT,Kuwait City,1300000000,Decreased,FALSE,Diversified,['Diversified'],NA,NA,1613
2024,4,Kwak Dong Shin,Dong Shin,Kwak,male,1974-12-17,49,South Korea,KOR,South Korea,KOR,Seoul,2900000000,NA,FALSE,Technology,['Technology'],NA,NA,1143
2024,4,Kwee Liong Keng,Liong Keng,Kwee,male,1946-01-01,78,Singapore,SGP,Singapore,SGP,Singapore,1600000000,Increased,FALSE,Real Estate,['Real Estate'],NA,NA,1945
2024,4,Kwee Liong Phing,Liong Phing,Kwee,male,1958-01-01,66,Singapore,SGP,Singapore,SGP,Singapore,1600000000,Increased,FALSE,Real Estate,['Real Estate'],NA,NA,1945
2024,4,Kwee Liong Seen,Liong Seen,Kwee,male,1953-01-01,71,Singapore,SGP,Singapore,SGP,Singapore,1600000000,Increased,FALSE,Real Estate,['Real Estate'],NA,NA,1945
2024,4,Kwee Liong Tek,Liong Tek,Kwee,male,1947-01-01,77,Singapore,SGP,Singapore,SGP,Singapore,1600000000,Increased,FALSE,Real Estate,['Real Estate'],NA,NA,1945
2022,4,Kwee brothers,NA,Kwee,male,NA,NA,Singapore,SGP,Singapore,SGP,Singapore,5500000000,Decreased,FALSE,Real Estate,['Real Estate'],NA,NA,480
2017,3,Kwee family,NA,Kwee,male,1947-01-01,70,Singapore,SGP,Singapore,SGP,Singapore,5100000000,Increased,FALSE,Real Estate,['Real Estate'],NA,NA,315
2024,4,Kwek Leng Beng,Leng Beng,Kwek,male,1941-01-01,83,Singapore,SGP,Singapore,SGP,Singapore,3400000000,Increased,FALSE,Diversified,['Diversified'],NA,NA,949
2007,3,Kwek Leng Beng & family,Leng Beng,Kwek,male,1941-01-01,66,Singapore,SGP,NA,NA,Singapore,4300000000,Increased,FALSE,NA,NA,NA,NA,194
2024,4,Kwek Leng Kee,Leng Kee,Kwek,male,1955-01-01,69,Singapore,SGP,Singapore,SGP,Singapore,2500000000,Increased,FALSE,Diversified,['Diversified'],NA,NA,1330
2024,4,Kwek Leng Keow,Leng Keow,Kwek,male,1952-01-01,72,Singapore,SGP,Singapore,SGP,Singapore,1400000000,Remained Even,FALSE,Diversified,['Diversified'],NA,NA,2152
2024,4,Kwek Leng Peck,Leng Peck,Kwek,male,1956-01-01,68,Singapore,SGP,Singapore,SGP,Singapore,1400000000,Remained Even,FALSE,Diversified,['Diversified'],NA,NA,2152
2011,3,Kwok Thomas & Raymond & family,Thomas & Raymond,Kwok,male,NA,0,Hong Kong,HKG,Hong Kong,HKG,Hong Kong,20000000000,Increased,FALSE,NA,['Real Estate'],NA,NA,23
2009,3,Kwok family,NA,NA,NA,NA,0,Hong Kong,HKG,Hong Kong,HKG,Hong Kong,10500000000,NA,NA,NA,['Real Estate'],NA,NA,32
2017,3,Kwon Hyuk-Bin,Hyuk-Bin,Kwon,male,1974-01-01,43,South Korea,KOR,South Korea,KOR,Seoul,4900000000,Increased,TRUE,Technology,['Technology'],Smilegate Holdings,NA,334
2024,4,Kwon Hyuk-bin,Hyuk-bin,Kwon,male,1974-01-01,50,South Korea,KOR,South Korea,KOR,Seoul,3500000000,Decreased,TRUE,Media & Entertainment,['Media & Entertainment'],Smilegate Holdings,NA,920
2024,4,Kwong Siu-hing,Siu-hing,Kwong,female,1929-12-02,94,Hong Kong,HKG,Hong Kong,HKG,Hong Kong,12000000000,Decreased,FALSE,Real Estate,['Real Estate'],NA,NA,165
2020,4,Kylie Jenner,Kylie,Jenner,female,1997-08-10,22,United States,USA,United States,USA,Hidden Hills,1000000000,Remained Even,TRUE,Fashion & Retail,['Fashion & Retail'],Kylie Cosmetics,Founder,1990
2008,3,Kyung-Bae Suh,NA,NA,NA,NA,45,South Korea,KOR,South Korea,KOR,Seoul,1000000000,NA,NA,NA,['Manufacturing'],NA,NA,1062
2007,3,L. John Doerr,NA,NA,NA,NA,56,United States,USA,United States,USA,Woodside,1000000000,NA,NA,NA,['Investments'],NA,NA,891
2024,4,Lachhman Das Mittal,Lachhman Das,Mittal,male,1930-11-05,93,India,IND,India,IND,Delhi,2900000000,Increased,FALSE,Automotive,['Automotive'],NA,NA,1143
2021,4,Lai Baosheng,Baosheng,Lai,male,NA,NA,China,CHN,China,CHN,Shenzhen,1100000000,NA,TRUE,Technology,['Technology'],NA,NA,2524
2021,4,Lai Guogui & family,Guogui,Lai,male,1964-01-01,57,China,CHN,China,CHN,Hangzhou,1100000000,NA,TRUE,Manufacturing,['Manufacturing'],NA,NA,2524
2024,4,Lai Jianfa,Jianfa,Lai,male,NA,54,China,CHN,China,CHN,Shanghai,1400000000,Decreased,TRUE,Logistics,['Logistics'],NA,NA,2152
2024,4,Lai Jianping,Jianping,Lai,male,NA,NA,China,CHN,China,CHN,Foshan,1500000000,Decreased,TRUE,Food & Beverage,['Food & Beverage'],NA,NA,2046
2024,4,Lai Meisong,Meisong,Lai,male,1970-12-01,53,China,CHN,China,CHN,Shanghai,4500000000,Decreased,TRUE,Logistics,['Logistics'],NA,NA,697
2024,4,Lai Shixian,Shixian,Lai,male,1975-01-01,49,China,CHN,China,CHN,Quanzhou,1700000000,Decreased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,1851
2024,4,Lakshmi Mittal,Lakshmi,Mittal,male,1950-06-15,73,India,IND,United Kingdom,GBR,London,16399999999.999998,Decreased,FALSE,Metals & Mining,['Metals & Mining'],NA,NA,113
